,pclass,age,sibsp,parch,fare,sex_male,alone_True,who_man,who_woman
69,3,26.0,2,0,8.6625,1,0,1,0
70,2,32.0,0,0,10.5,1,1,1,0
71,3,16.0,5,2,46.9,0,0,0,1
72,2,21.0,0,0,73.5,1,1,1,0
73,3,26.0,1,0,14.4542,1,0,1,0
74,3,32.0,0,0,56.4958,1,1,1,0
75,3,25.0,0,0,7.65,1,1,1,0
76,3,26.6,0,0,7.8958,1,1,1,0
77,3,30.8,0,0,8.05,1,1,1,0
78,2,0.83,0,2,29.0,1,0,0,0
79,3,30.0,0,0,12.475,0,1,0,1
80,3,22.0,0,0,9.0,1,1,1,0
81,3,29.0,0,0,9.5,1,1,1,0
82,3,28.1,0,0,7.7875,0,1,0,1
83,1,28.0,0,0,47.1,1,1,1,0
84,2,17.0,0,0,10.5,0,1,0,1
85,3,33.0,3,0,15.85,0,0,0,1
86,3,16.0,1,3,34.375,1,0,1,0
87,3,30.8,0,0,8.05,1,1,1,0
88,1,23.0,3,2,263.0,0,0,0,1
89,3,24.0,0,0,8.05,1,1,1,0
90,3,29.0,0,0,8.05,1,1,1,0
91,3,20.0,0,0,7.8542,1,1,1,0
92,1,46.0,1,0,61.175,1,0,1,0
93,3,26.0,1,2,20.575,1,0,1,0
94,3,59.0,0,0,7.25,1,1,1,0
95,3,30.8,0,0,8.05,1,1,1,0
96,1,71.0,0,0,34.6542,1,1,1,0
97,1,23.0,0,1,63.3583,1,0,1,0
98,2,34.0,0,1,23.0,0,0,0,1
99,2,34.0,1,0,26.0,1,0,1,0
100,3,28.0,0,0,7.8958,0,1,0,1
101,3,26.6,0,0,7.8958,1,1,1,0
102,1,21.0,0,1,77.2875,1,0,1,0
103,3,33.0,0,0,8.6542,1,1,1,0
104,3,37.0,2,0,7.925,1,0,1,0
105,3,28.0,0,0,7.8958,1,1,1,0
106,3,21.0,0,0,7.65,0,1,0,1
107,3,36.2,0,0,7.775,1,1,1,0
108,3,38.0,0,0,7.8958,1,1,1,0
109,3,29.6,1,0,24.15,0,0,0,1
110,1,47.0,0,0,52.0,1,1,1,0
111,3,14.5,1,0,14.4542,0,0,0,0
112,3,22.0,0,0,8.05,1,1,1,0
113,3,20.0,1,0,9.825,0,0,0,1
114,3,17.0,0,0,14.4583,0,1,0,1
115,3,21.0,0,0,7.925,1,1,1,0
116,3,70.5,0,0,7.75,1,1,1,0
117,2,29.0,1,0,21.0,1,0,1,0
118,1,24.0,0,1,247.5208,1,0,1,0
119,3,2.0,4,2,31.275,0,0,0,0
120,2,21.0,2,0,73.5,1,0,1,0
121,3,30.8,0,0,8.05,1,1,1,0
122,2,32.5,1,0,30.0708,1,0,1,0
123,2,32.5,0,0,13.0,0,1,0,1
124,1,54.0,0,1,77.2875,1,0,1,0
125,3,12.0,1,0,11.2417,1,0,0,0
126,3,41.6,0,0,7.75,1,1,1,0
127,3,24.0,0,0,7.1417,1,1,1,0
128,3,18.0,1,1,22.3583,0,0,0,1
129,3,45.0,0,0,6.975,1,1,1,0
130,3,33.0,0,0,7.8958,1,1,1,0
131,3,20.0,0,0,7.05,1,1,1,0
132,3,47.0,1,0,14.5,0,0,0,1
133,2,29.0,1,0,26.0,0,0,0,1
134,2,25.0,0,0,13.0,1,1,1,0
135,2,23.0,0,0,15.0458,1,1,1,0
136,1,19.0,0,2,26.2833,0,0,0,1
137,1,37.0,1,0,53.1,1,0,1,0
138,3,16.0,0,0,9.2167,1,1,1,0
139,1,24.0,0,0,79.2,1,1,1,0
140,3,23.4,0,2,15.2458,0,0,0,1
141,3,22.0,0,0,7.75,0,1,0,1
142,3,24.0,1,0,15.85,0,0,0,1
143,3,19.0,0,0,6.75,1,1,1,0
144,2,18.0,0,0,11.5,1,1,1,0
145,2,19.0,1,1,36.75,1,0,1,0
146,3,27.0,0,0,7.7958,1,1,1,0
147,3,9.0,2,2,34.375,0,0,0,0
148,2,36.5,0,2,26.0,1,0,1,0
149,2,42.0,0,0,13.0,1,1,1,0
150,2,51.0,0,0,12.525,1,1,1,0
151,1,22.0,1,0,66.6,0,0,0,1
152,3,55.5,0,0,8.05,1,1,1,0
153,3,40.5,0,2,14.5,1,0,1,0
154,3,29.0,0,0,7.3125,1,1,1,0
155,1,51.0,0,1,61.3792,1,0,1,0
156,3,16.0,0,0,7.7333,0,1,0,1
157,3,30.0,0,0,8.05,1,1,1,0
158,3,24.6,0,0,8.6625,1,1,1,0
159,3,37.0,8,2,69.55,1,0,1,0
160,3,44.0,0,1,16.1,1,0,1,0
161,2,40.0,0,0,15.75,0,1,0,1
162,3,26.0,0,0,7.775,1,1,1,0
163,3,17.0,0,0,8.6625,1,1,1,0
164,3,1.0,4,1,39.6875,1,0,0,0
165,3,9.0,0,2,20.525,1,0,0,0
166,1,30.8,0,1,55.0,0,0,0,1
167,3,45.0,1,4,27.9,0,0,0,1
168,1,44.8,0,0,25.925,1,1,1,0
169,3,28.0,0,0,56.4958,1,1,1,0
170,1,61.0,0,0,33.5,1,1,1,0
171,3,4.0,4,1,29.125,1,0,0,0
172,3,1.0,1,1,11.1333,0,0,0,0
173,3,21.0,0,0,7.925,1,1,1,0
174,1,56.0,0,0,30.6958,1,1,1,0
175,3,18.0,1,1,7.8542,1,0,1,0
176,3,27.2,3,1,25.4667,1,0,1,0
177,1,50.0,0,0,28.7125,0,1,0,1
178,2,30.0,0,0,13.0,1,1,1,0
179,3,36.0,0,0,0.0,1,1,1,0
180,3,37.0,8,2,69.55,0,0,0,1
181,2,34.3,0,0,15.05,1,1,1,0
182,3,9.0,4,2,31.3875,1,0,0,0
183,2,1.0,2,1,39.0,1,0,0,0
184,3,4.0,0,2,22.025,0,0,0,0
185,1,45.4,0,0,50.0,1,1,1,0
186,3,27.6,1,0,15.5,0,0,0,1
187,1,45.0,0,0,26.55,1,1,1,0
188,3,40.0,1,1,15.5,1,0,1,0
189,3,36.0,0,0,7.8958,1,1,1,0
190,2,32.0,0,0,13.0,0,1,0,1
191,2,19.0,0,0,13.0,1,1,1,0
192,3,19.0,1,0,7.8542,0,0,0,1
193,2,3.0,1,1,26.0,1,0,0,0
194,1,44.0,0,0,27.7208,0,1,0,1
195,1,58.0,0,0,146.5208,0,1,0,1
196,3,41.6,0,0,7.75,1,1,1,0
197,3,42.0,0,1,8.4042,1,0,1,0
198,3,25.2,0,0,7.75,0,1,0,1
199,2,24.0,0,0,13.0,0,1,0,1
200,3,28.0,0,0,9.5,1,1,1,0
201,3,37.0,8,2,69.55,1,0,1,0
202,3,34.0,0,0,6.4958,1,1,1,0
203,3,45.5,0,0,7.225,1,1,1,0
204,3,18.0,0,0,8.05,1,1,1,0
205,3,2.0,0,1,10.4625,0,0,0,0
206,3,32.0,1,0,15.85,1,0,1,0
207,3,26.0,0,0,18.7875,1,1,1,0
208,3,16.0,0,0,7.75,0,1,0,1
209,1,40.0,0,0,31.0,1,1,1,0
210,3,24.0,0,0,7.05,1,1,1,0
211,2,35.0,0,0,21.0,0,1,0,1
212,3,22.0,0,0,7.25,1,1,1,0
213,2,30.0,0,0,13.0,1,1,1,0
214,3,23.6,1,0,7.75,1,0,1,0
215,1,31.0,1,0,113.275,0,0,0,1
216,3,27.0,0,0,7.925,0,1,0,1
217,2,42.0,1,0,27.0,1,0,1,0
218,1,32.0,0,0,76.2917,0,1,0,1
219,2,30.0,0,0,10.5,1,1,1,0
220,3,16.0,0,0,8.05,1,1,1,0
221,2,27.0,0,0,13.0,1,1,1,0
222,3,51.0,0,0,8.05,1,1,1,0
223,3,26.6,0,0,7.8958,1,1,1,0
224,1,38.0,1,0,90.0,1,0,1,0
225,3,22.0,0,0,9.35,1,1,1,0
226,2,19.0,0,0,10.5,1,1,1,0
227,3,20.5,0,0,7.25,1,1,1,0
228,2,18.0,0,0,13.0,1,1,1,0
229,3,31.2,3,1,25.4667,0,0,0,1
230,1,35.0,1,0,83.475,0,0,0,1
231,3,29.0,0,0,7.775,1,1,1,0
232,2,59.0,0,0,13.5,1,1,1,0
233,3,5.0,4,2,31.3875,0,0,0,0
234,2,24.0,0,0,10.5,1,1,1,0
235,3,20.0,0,0,7.55,0,1,0,1
236,2,44.0,1,0,26.0,1,0,1,0
237,2,8.0,0,2,26.25,0,0,0,0
238,2,19.0,0,0,10.5,1,1,1,0
239,2,33.0,0,0,12.275,1,1,1,0
240,3,26.3,1,0,14.4542,0,0,0,1
241,3,27.6,1,0,15.5,0,0,0,1
242,2,29.0,0,0,10.5,1,1,1,0
243,3,22.0,0,0,7.125,1,1,1,0
244,3,30.0,0,0,7.225,1,1,1,0
245,1,44.0,2,0,90.0,1,0,1,0
246,3,25.0,0,0,7.775,0,1,0,1
247,2,24.0,0,2,14.5,0,0,0,1
248,1,37.0,1,1,52.5542,1,0,1,0
249,2,54.0,1,0,26.0,1,0,1,0
250,3,23.7,0,0,7.25,1,1,1,0
251,3,29.0,1,1,10.4625,0,0,0,1
252,1,62.0,0,0,26.55,1,1,1,0
253,3,30.0,1,0,16.1,1,0,1,0
254,3,41.0,0,2,20.2125,0,0,0,1
255,3,29.0,0,2,15.2458,0,0,0,1
256,1,40.2,0,0,79.2,0,1,0,1
257,1,30.0,0,0,86.5,0,1,0,1
258,1,35.0,0,0,512.3292,0,1,0,1
259,2,50.0,0,1,26.0,0,0,0,1
260,3,41.6,0,0,7.75,1,1,1,0
261,3,3.0,4,2,31.3875,1,0,0,0
262,1,52.0,1,1,79.65,1,0,1,0
263,1,40.0,0,0,0.0,1,1,1,0
264,3,25.2,0,0,7.75,0,1,0,1
265,2,36.0,0,0,10.5,1,1,1,0
266,3,16.0,4,1,39.6875,1,0,1,0
267,3,25.0,1,0,7.775,1,0,1,0
268,1,58.0,0,1,153.4625,0,0,0,1
269,1,35.0,0,0,135.6333,0,1,0,1
270,1,46.0,0,0,31.0,1,1,1,0
271,3,25.0,0,0,0.0,1,1,1,0
272,2,41.0,0,1,19.5,0,0,0,1
273,1,37.0,0,1,29.7,1,0,1,0
274,3,25.2,0,0,7.75,0,1,0,1
275,1,63.0,1,0,77.9583,0,0,0,1
276,3,45.0,0,0,7.75,0,1,0,1
277,2,34.2,0,0,0.0,1,1,1,0
278,3,7.0,4,1,29.125,1,0,0,0
279,3,35.0,1,1,20.25,0,0,0,1
280,3,65.0,0,0,7.75,1,1,1,0
281,3,28.0,0,0,7.8542,1,1,1,0
282,3,16.0,0,0,9.5,1,1,1,0
283,3,19.0,0,0,8.05,1,1,1,0
284,1,42.6,0,0,26.0,1,1,1,0
285,3,33.0,0,0,8.6625,1,1,1,0
286,3,30.0,0,0,9.5,1,1,1,0
287,3,22.0,0,0,7.8958,1,1,1,0
288,2,42.0,0,0,13.0,1,1,1,0
289,3,22.0,0,0,7.75,0,1,0,1
290,1,26.0,0,0,78.85,0,1,0,1
291,1,19.0,1,0,91.0792,0,0,0,1
292,2,36.0,0,0,12.875,1,1,1,0
293,3,24.0,0,0,8.85,0,1,0,1
294,3,24.0,0,0,7.8958,1,1,1,0
295,1,47.9,0,0,27.7208,1,1,1,0
296,3,23.5,0,0,7.2292,1,1,1,0
297,1,2.0,1,2,151.55,0,0,0,0
298,1,44.4,0,0,30.5,1,1,1,0
299,1,50.0,0,1,247.5208,0,0,0,1
300,3,25.2,0,0,7.75,0,1,0,1
301,3,24.4,2,0,23.25,1,0,1,0
302,3,19.0,0,0,0.0,1,1,1,0
303,2,25.4,0,0,12.35,0,1,0,1
304,3,30.8,0,0,8.05,1,1,1,0
305,1,0.92,1,2,151.55,1,0,0,0
306,1,31.8,0,0,110.8833,0,1,0,1
307,1,17.0,1,0,108.9,0,0,0,1
308,2,30.0,1,0,24.0,1,0,1,0
309,1,30.0,0,0,56.9292,0,1,0,1
310,1,24.0,0,0,83.1583,0,1,0,1
311,1,18.0,2,2,262.375,0,0,0,1
312,2,26.0,1,1,26.0,0,0,0,1
313,3,28.0,0,0,7.8958,1,1,1,0
314,2,43.0,1,1,26.25,1,0,1,0
315,3,26.0,0,0,7.8542,0,1,0,1
316,2,24.0,1,0,26.0,0,0,0,1
317,2,54.0,0,0,14.0,1,1,1,0
318,1,31.0,0,2,164.8667,0,0,0,1
319,1,40.0,1,1,134.5,0,0,0,1
320,3,22.0,0,0,7.25,1,1,1,0
321,3,27.0,0,0,7.8958,1,1,1,0
322,2,30.0,0,0,12.35,0,1,0,1
323,2,22.0,1,1,29.0,0,0,0,1
324,3,37.0,8,2,69.55,1,0,1,0
325,1,36.0,0,0,135.6333,0,1,0,1
326,3,61.0,0,0,6.2375,1,1,1,0
327,2,36.0,0,0,13.0,0,1,0,1
328,3,31.0,1,1,20.525,0,0,0,1
329,1,16.0,0,1,57.9792,0,0,0,1
330,3,23.2,2,0,23.25,0,0,0,1
331,1,45.5,0,0,28.5,1,1,1,0
332,1,38.0,0,1,153.4625,1,0,1,0
333,3,16.0,2,0,18.0,1,0,1,0
334,1,40.4,1,0,133.65,0,0,0,1
335,3,26.6,0,0,7.8958,1,1,1,0
336,1,29.0,1,0,66.6,1,0,1,0
337,1,41.0,0,0,134.5,0,1,0,1
338,3,45.0,0,0,8.05,1,1,1,0
339,1,45.0,0,0,35.5,1,1,1,0
340,2,2.0,1,1,26.0,1,0,0,0
341,1,24.0,3,2,263.0,0,0,0,1
342,2,28.0,0,0,13.0,1,1,1,0
343,2,25.0,0,0,13.0,1,1,1,0
344,2,36.0,0,0,13.0,1,1,1,0
345,2,24.0,0,0,13.0,0,1,0,1
346,2,40.0,0,0,13.0,0,1,0,1
347,3,24.4,1,0,16.1,0,0,0,1
348,3,3.0,1,1,15.9,1,0,0,0
349,3,42.0,0,0,8.6625,1,1,1,0
350,3,23.0,0,0,9.225,1,1,1,0
351,1,49.4,0,0,35.0,1,1,1,0
352,3,15.0,1,1,7.2292,1,0,0,0
353,3,25.0,1,0,17.8,1,0,1,0
354,3,32.5,0,0,7.225,1,1,1,0
355,3,28.0,0,0,9.5,1,1,1,0
356,1,22.0,0,1,55.0,0,0,0,1
357,2,38.0,0,0,13.0,0,1,0,1
358,3,26.2,0,0,7.8792,0,1,0,1
359,3,26.2,0,0,7.8792,0,1,0,1
360,3,40.0,1,4,27.9,1,0,1,0
361,2,29.0,1,0,27.7208,1,0,1,0
362,3,45.0,0,1,14.4542,0,0,0,1
363,3,35.0,0,0,7.05,1,1,1,0
364,3,30.0,1,0,15.5,1,0,1,0
365,3,30.0,0,0,7.25,1,1,1,0
366,1,60.0,1,0,75.25,0,0,0,1
367,3,20.4,0,0,7.2292,0,1,0,1
368,3,25.2,0,0,7.75,0,1,0,1
369,1,24.0,0,0,69.3,0,1,0,1
370,1,25.0,1,0,55.4417,1,0,1,0
371,3,18.0,1,0,6.4958,1,0,1,0
372,3,19.0,0,0,8.05,1,1,1,0
373,1,22.0,0,0,135.6333,1,1,1,0
374,3,3.0,3,1,21.075,0,0,0,0
375,1,36.4,1,0,82.1708,0,0,0,1
376,3,22.0,0,0,7.25,0,1,0,1
377,1,27.0,0,2,211.5,1,0,1,0
378,3,20.0,0,0,4.0125,1,1,1,0
379,3,19.0,0,0,7.775,1,1,1,0
380,1,42.0,0,0,227.525,0,1,0,1
381,3,1.0,0,2,15.7417,0,0,0,0
382,3,32.0,0,0,7.925,1,1,1,0
383,1,35.0,1,0,52.0,0,0,0,1
384,3,26.6,0,0,7.8958,1,1,1,0
385,2,18.0,0,0,73.5,1,1,1,0
386,3,1.0,5,2,46.9,1,0,0,0
387,2,36.0,0,0,13.0,0,1,0,1
388,3,31.4,0,0,7.7292,1,1,1,0
389,2,17.0,0,0,12.0,0,1,0,1
390,1,36.0,1,2,120.0,1,0,1,0
391,3,21.0,0,0,7.7958,1,1,1,0
392,3,28.0,2,0,7.925,1,0,1,0
393,1,23.0,1,0,113.275,0,0,0,1
394,3,24.0,0,2,16.7,0,0,0,1
395,3,22.0,0,0,7.7958,1,1,1,0
396,3,31.0,0,0,7.8542,0,1,0,1
397,2,46.0,0,0,26.0,1,1,1,0
398,2,23.0,0,0,10.5,1,1,1,0
399,2,28.0,0,0,12.65,0,1,0,1
400,3,39.0,0,0,7.925,1,1,1,0
401,3,26.0,0,0,8.05,1,1,1,0
402,3,21.0,1,0,9.825,0,0,0,1
403,3,28.0,1,0,15.85,1,0,1,0
404,3,20.0,0,0,8.6625,0,1,0,1
405,2,34.0,1,0,21.0,1,0,1,0
406,3,51.0,0,0,7.75,1,1,1,0
407,2,3.0,1,1,18.75,1,0,0,0
408,3,21.0,0,0,7.775,1,1,1,0
409,3,31.2,3,1,25.4667,0,0,0,1
410,3,26.6,0,0,7.8958,1,1,1,0
411,3,28.0,0,0,6.8583,1,1,1,0
412,1,33.0,1,0,90.0,0,0,0,1
413,2,34.2,0,0,0.0,1,1,1,0
414,3,44.0,0,0,7.925,1,1,1,0
415,3,24.6,0,0,8.05,0,1,0,1
416,2,34.0,1,1,32.5,0,0,0,1
417,2,18.0,0,2,13.0,0,0,0,1
418,2,30.0,0,0,13.0,1,1,1,0
419,3,10.0,0,2,24.15,0,0,0,0
420,3,26.6,0,0,7.8958,1,1,1,0
421,3,21.0,0,0,7.7333,1,1,1,0
422,3,29.0,0,0,7.875,1,1,1,0
423,3,28.0,1,1,14.4,0,0,0,1
424,3,18.0,1,1,20.2125,1,0,1,0
425,3,23.7,0,0,7.25,1,1,1,0
426,2,28.0,1,0,26.0,0,0,0,1
427,2,19.0,0,0,26.0,0,1,0,1
428,3,41.6,0,0,7.75,1,1,1,0
429,3,32.0,0,0,8.05,1,1,1,0
430,1,28.0,0,0,26.55,1,1,1,0
431,3,24.4,1,0,16.1,0,0,0,1
432,2,42.0,1,0,26.0,0,0,0,1
433,3,17.0,0,0,7.125,1,1,1,0
434,1,50.0,1,0,55.9,1,0,1,0
435,1,14.0,1,2,120.0,0,0,0,0
436,3,21.0,2,2,34.375,0,0,0,1
437,2,24.0,2,3,18.75,0,0,0,1
438,1,64.0,1,4,263.0,1,0,1,0
439,2,31.0,0,0,10.5,1,1,1,0
440,2,45.0,1,1,26.25,0,0,0,1
441,3,20.0,0,0,9.5,1,1,1,0
442,3,25.0,1,0,7.775,1,0,1,0
443,2,28.0,0,0,13.0,0,1,0,1
444,3,31.8,0,0,8.1125,1,1,1,0
445,1,4.0,0,2,81.8583,1,0,0,0
446,2,13.0,0,1,19.5,0,0,0,0
447,1,34.0,0,0,26.55,1,1,1,0
448,3,5.0,2,1,19.2583,0,0,0,0
449,1,52.0,0,0,30.5,1,1,1,0
450,2,36.0,1,2,27.75,1,0,1,0
451,3,26.0,1,0,19.9667,1,0,1,0
452,1,30.0,0,0,27.75,1,1,1,0
453,1,49.0,1,0,89.1042,1,0,1,0
454,3,30.8,0,0,8.05,1,1,1,0
455,3,29.0,0,0,7.8958,1,1,1,0
456,1,65.0,0,0,26.55,1,1,1,0
457,1,40.6,1,0,51.8625,0,0,0,1
458,2,50.0,0,0,10.5,0,1,0,1
459,3,41.6,0,0,7.75,1,1,1,0
460,1,48.0,0,0,26.55,1,1,1,0
461,3,34.0,0,0,8.05,1,1,1,0
462,1,47.0,0,0,38.5,1,1,1,0
463,2,48.0,0,0,13.0,1,1,1,0
464,3,30.8,0,0,8.05,1,1,1,0
465,3,38.0,0,0,7.05,1,1,1,0
466,2,34.2,0,0,0.0,1,1,1,0
467,1,56.0,0,0,26.55,1,1,1,0
468,3,42.7,0,0,7.725,1,1,1,0
469,3,0.75,2,1,19.2583,0,0,0,0
470,3,23.7,0,0,7.25,1,1,1,0
471,3,38.0,0,0,8.6625,1,1,1,0
472,2,33.0,1,2,27.75,0,0,0,1
473,2,23.0,0,0,13.7917,0,1,0,1
474,3,22.0,0,0,9.8375,0,1,0,1
475,1,44.4,0,0,52.0,1,1,1,0
476,2,34.0,1,0,21.0,1,0,1,0
477,3,29.0,1,0,7.0458,1,0,1,0
478,3,22.0,0,0,7.5208,1,1,1,0
479,3,2.0,0,1,12.2875,0,0,0,0
480,3,9.0,5,2,46.9,1,0,0,0
481,2,34.2,0,0,0.0,1,1,1,0
482,3,50.0,0,0,8.05,1,1,1,0
483,3,63.0,0,0,9.5875,0,1,0,1
484,1,25.0,1,0,91.0792,1,0,1,0
485,3,31.2,3,1,25.4667,0,0,0,1
486,1,35.0,1,0,90.0,0,0,0,1
487,1,58.0,0,0,29.7,1,1,1,0
488,3,30.0,0,0,8.05,1,1,1,0
489,3,9.0,1,1,15.9,1,0,0,0
490,3,26.0,1,0,19.9667,1,0,1,0
491,3,21.0,0,0,7.25,1,1,1,0
492,1,55.0,0,0,30.5,1,1,1,0
493,1,71.0,0,0,49.5042,1,1,1,0
494,3,21.0,0,0,8.05,1,1,1,0
495,3,34.2,0,0,14.4583,1,1,1,0
496,1,54.0,1,0,78.2667,0,0,0,1
497,3,27.7,0,0,15.1,1,1,1,0
498,1,25.0,1,2,151.55,0,0,0,1
499,3,24.0,0,0,7.7958,1,1,1,0
500,3,17.0,0,0,8.6625,1,1,1,0
501,3,21.0,0,0,7.75,0,1,0,1
502,3,20.8,0,0,7.6292,0,1,0,1
503,3,37.0,0,0,9.5875,0,1,0,1
504,1,16.0,0,0,86.5,0,1,0,1
505,1,18.0,1,0,108.9,1,0,1,0
506,2,33.0,0,2,26.0,0,0,0,1
507,1,53.2,0,0,26.55,1,1,1,0
508,3,28.0,0,0,22.525,1,1,1,0
509,3,26.0,0,0,56.4958,1,1,1,0
510,3,29.0,0,0,7.75,1,1,1,0
511,3,30.8,0,0,8.05,1,1,1,0
512,1,36.0,0,0,26.2875,1,1,1,0
513,1,54.0,1,0,59.4,0,0,0,1
514,3,24.0,0,0,7.4958,1,1,1,0
515,1,47.0,0,0,34.0208,1,1,1,0
516,2,34.0,0,0,10.5,0,1,0,1
517,3,29.8,0,0,24.15,1,1,1,0
518,2,36.0,1,0,26.0,0,0,0,1
519,3,32.0,0,0,7.8958,1,1,1,0
520,1,30.0,0,0,93.5,0,1,0,1
521,3,22.0,0,0,7.8958,1,1,1,0
522,3,32.5,0,0,7.225,1,1,1,0
523,1,44.0,0,1,57.9792,0,0,0,1
524,3,24.8,0,0,7.2292,1,1,1,0
525,3,40.5,0,0,7.75,1,1,1,0
526,2,50.0,0,0,10.5,0,1,0,1
527,1,30.8,0,0,221.7792,1,1,1,0
528,3,39.0,0,0,7.925,1,1,1,0
529,2,23.0,2,1,11.5,1,0,1,0
530,2,2.0,1,1,26.0,0,0,0,0
531,3,24.8,0,0,7.2292,1,1,1,0
532,3,17.0,1,1,7.2292,1,0,1,0
533,3,24.0,0,2,22.3583,0,0,0,1
534,3,30.0,0,0,8.6625,0,1,0,1
535,2,7.0,0,2,26.25,0,0,0,0
536,1,45.0,0,0,26.55,1,1,1,0
537,1,30.0,0,0,106.425,0,1,0,1
538,3,34.2,0,0,14.5,1,1,1,0
539,1,22.0,0,2,49.5,0,0,0,1
540,1,36.0,0,2,71.0,0,0,0,1
541,3,9.0,4,2,31.275,0,0,0,0
542,3,11.0,4,2,31.275,0,0,0,0
543,2,32.0,1,0,26.0,1,0,1,0
544,1,50.0,1,0,106.425,1,0,1,0
545,1,64.0,0,0,26.0,1,1,1,0
546,2,19.0,1,0,26.0,0,0,0,1
547,2,48.6,0,0,13.8625,1,1,1,0
548,3,33.0,1,1,20.525,1,0,1,0
549,2,8.0,1,1,36.75,1,0,0,0
550,1,17.0,0,2,110.8833,1,0,1,0
551,2,27.0,0,0,26.0,1,1,1,0
552,3,28.0,0,0,7.8292,1,1,1,0
553,3,22.0,0,0,7.225,1,1,1,0
554,3,22.0,0,0,7.775,0,1,0,1
555,1,62.0,0,0,26.55,1,1,1,0
556,1,48.0,1,0,39.6,0,0,0,1
557,1,30.8,0,0,227.525,1,1,1,0
558,1,39.0,1,1,79.65,0,0,0,1
559,3,36.0,1,0,17.4,0,0,0,1
560,3,41.6,0,0,7.75,1,1,1,0
561,3,40.0,0,0,7.8958,1,1,1,0
562,2,28.0,0,0,13.5,1,1,1,0
563,3,30.8,0,0,8.05,1,1,1,0
564,3,24.6,0,0,8.05,0,1,0,1
565,3,24.0,2,0,24.15,1,0,1,0
566,3,19.0,0,0,7.8958,1,1,1,0
567,3,29.0,0,4,21.075,0,0,0,1
568,3,24.8,0,0,7.2292,1,1,1,0
569,3,32.0,0,0,7.8542,1,1,1,0
570,2,62.0,0,0,10.5,1,1,1,0
571,1,53.0,2,0,51.4792,0,0,0,1
